,0,1,2,3
"[0, 0]",-1.45,-1.9024999999999999,-2.6637500000000003,-1.9249999999999998
"[1, 0]",-1.9,-2.0,-1.4275,-1.45
"[2, 0]",-1.0,-2.9,-1.45,-1.0
"[2, 1]",0.0,-1.0,-1.0,-1.0
"[1, 1]",-1.45,-1.0,-1.45,-1.9
"[3, 0]",-1.0,-2.0,-1.0,0.0
"[3, 1]",0.0,0.0,0.0,-1.0
"[4, 1]",-0.5,-1.0,-0.5,-1.0
"[5, 1]",-1.0,-1.0,-1.0,-0.5
"[4, 0]",-0.5,0.0,0.0,-1.0
"[5, 0]",-1.0,0.0,-1.0,-1.0
"[5, 2]",-1.0,-1.0,-1.0,0.0
"[6, 0]",-1.0,0.0,0.0,-0.5
"[5, 3]",0.0,0.0,0.0,-1.0
"[6, 3]",-1.0,0.0,0.0,0.0
"[6, 4]",-1.0,0.0,0.0,-1.0
"[6, 5]",-1.0,-1.0,0.0,0.0
"[6, 6]",0.0,-1.0,-1.0,-0.5
"[5, 6]",-0.95,0.0,-1.0,-1.0
"[5, 7]",-1.0,-1.0,-1.0,-1.0
"[6, 7]",-1.0,-1.0,-0.95,-1.0
"[7, 7]",-1.0,0.0,-0.5,-0.5
"[8, 7]",-1.0,-1.0,-1.0,-0.5
"[8, 8]",-1.0,-1.0,-0.5,-0.5
"[8, 9]",0.0,-1.0,-1.0,-1.0
"[7, 9]",-1.0,-1.0,-1.0,-1.0
"[6, 9]",-1.0,-1.0,0.0,-1.0
"[6, 8]",-1.0,-1.0,-1.0,-0.75
"[5, 8]",-1.0,-1.0,-1.0,-0.5
"[4, 8]",-1.0,-1.0,-1.9,-1.0
"[5, 9]",-1.0,-1.0,-1.0,-1.0
"[5, 10]",-1.0,-1.9,-1.0,-1.0
"[5, 11]",-1.9,-1.9,-1.0,-1.0
"[5, 12]",-1.0,-1.0,-1.0,-1.0
"[6, 12]",-1.0,-1.0,-1.0,-1.0
"[4, 12]",-1.0,-1.9,-1.0,-1.0
