,0,1,2,3
"[0, 0]",0.23132590086637012,-0.2967369383555978,-0.23155928928318187,-0.018314807683051514
"[1, 0]",0.14495573761908753,0.0,-0.0015627485598596,0.0
"[1, 1]",0.41596608826550957,-0.0208162791672332,-0.027832780267476497,0.0
"[0, 1]",0.009081,0.0,-0.21189983259630504,0.3855000273739034
"[0, 2]",0.0,-0.010919,-0.1915690887511275,0.08824517545868955
"[0, 3]",0.009081,-0.010919,-0.1009999999999999,0.0
"[1, 2]",0.019374058502343,-0.01652449933589158,-0.018582207953905763,0.3585593693773024
"[2, 2]",0.29975260978237805,-0.0104163406643986,-0.010919,-0.02188991469337282
"[2, 1]",0.0,0.0,0.0,0.07246010358503537
"[3, 1]",0.0,0.0,0.0,0.058665292432313956
"[4, 1]",0.0460811220333929,-0.021809,-0.0020089999999999,0.0
"[4, 2]",0.1226145239165236,-0.010919,-0.02189,0.0
"[4, 0]",0.0,0.0,0.0,0.01791
"[5, 0]",0.009,0.0,0.0,0.0
"[5, 1]",0.018071919,0.0,0.0,0.0
"[5, 2]",0.05432678200733837,0.0,-0.021647203987829,0.0
"[3, 2]",0.07057844408519891,-0.01083881,-0.009118578957424933,0.00010243432817722692
"[2, 3]",0.00783629978428771,-0.017870476299690817,-0.0422695725074263,0.31414628148559126
"[1, 3]",0.0,-0.0092015145921996,0.0,0.1246920290098289
"[2, 4]",0.12504122584887595,0.0,-0.0107519863443193,0.0
"[2, 5]",0.09855294159215029,0.0,-0.011,-0.00180981
"[3, 5]",0.06005674717237298,-0.010919,-0.011,-0.011
"[1, 5]",0.0,-0.011,-0.0425446581995952,0.0542139602808598
"[0, 5]",0.0,-0.011,0.0,0.0536370646266004
"[0, 4]",0.0182321207239619,0.0,-0.1009999999999999,0.0
"[0, 6]",-0.1009999999999999,-0.010919,-0.20099,0.0
"[1, 4]",0.0,0.0,0.0,0.0459234366655213
"[2, 6]",0.0,-0.021535462609162,-0.011728081,0.1317000100792943
"[1, 6]",0.01697302205639,0.0,0.0,0.0
"[1, 7]",0.0168935262029,0.0,0.0,0.0
"[1, 8]",0.0,-0.000757243640710001,0.0,0.009
"[2, 8]",0.0259452283318999,0.0,0.0,0.0
"[2, 9]",0.0258644762,0.0,0.0,-0.0018098099999999
"[2, 10]",-0.00209,0.0,-0.011,0.025863682319
"[1, 10]",-0.010919,-0.011,-0.00209,0.009
"[1, 11]",0.0,0.0,0.0,-0.010919
"[0, 10]",0.0,-0.0020089999999999,0.0,0.009
"[1, 9]",0.0,0.0,-0.011,0.009081
"[0, 9]",0.009,0.0,0.0,0.009
"[2, 11]",0.01791,0.0,0.0,0.0
"[2, 12]",0.01791,-0.010919,0.0,0.0
"[2, 13]",0.0,-0.010919,0.0,0.009
"[3, 13]",0.0,-0.011,0.0,0.017991
"[3, 12]",0.017991,-0.010919,-0.011,0.0
"[3, 11]",0.0267929288099999,0.0,0.0,-0.011
"[3, 10]",-0.010919,0.0,-0.010919,0.034509046409
"[4, 10]",0.034331553611900004,-0.011,-0.01083881,0.0
"[4, 9]",0.0,0.0,-0.011,0.0
"[3, 9]",0.0092405781,0.0,-0.01083881,0.0
"[4, 11]",0.014664937409,-0.01083881,-0.011,0.0
"[4, 13]",0.0,0.0,0.0,0.01711407903332438
"[5, 13]",0.0,0.0,0.0,0.03161650183844717
"[6, 13]",0.0,-0.0106755835301177,-0.0007105408616020284,0.08517413347305869
"[7, 13]",0.0181505781,0.0,-0.0109145591928805,0.08883216180434975
"[7, 14]",0.0,0.0097495966620581,0.0,0.02582126378973911
"[8, 14]",-0.01083881,-0.011,-0.010919,0.08808190948534983
"[8, 13]",0.101825875389578,0.0,0.0,0.009082457271
"[9, 14]",0.06581427563884057,-0.0215657071111158,-0.0015663252599385,-0.0007600889162094923
"[9, 15]",0.0,0.009,-0.011,0.06545164620995449
"[8, 15]",0.01791,-0.0107594219,-0.011,0.0093249419734216
"[7, 15]",0.0,0.0,0.0,0.009
"[10, 15]",0.06563517849899618,-0.0213215136868656,-0.010919,0.0083010311767017
"[10, 16]",0.0,0.0,-0.0217251222907801,0.04275787653434607
