,0,1,2,3
"[0, 0]",0.8411897679844604,-0.3520123951714217,-0.1996299313089376,2.6224439071239374
"[1, 0]",3.321564342400432,-1.7215288982856751,0.3925042930059468,2.0903883781277206
"[2, 0]",4.57386830917977,1.2484643265664042,0.8739462693841545,2.4926754131762507
"[2, 1]",2.037301903898764,4.729527973545592,0.7402494034418475,3.759174725840972
"[3, 0]",5.019451510210727,-1.428045900458663,1.877064608076505,1.701078097329929
"[3, 1]",2.3661628073315306,2.5649477648472447,3.024233543599492,6.193733613297756
"[4, 1]",6.413716163355361,2.9461253301070647,4.742884475353004,5.9678155666779045
"[4, 2]",6.313143120006538,5.566102939150132,4.969875038493365,4.914896058835762
"[4, 0]",3.74039050137986,0.1193609092460459,1.5561604070722217,1.7986551317095574
"[5, 1]",3.095265422554832,6.080338538060072,6.566442702575174,5.618728931222663
"[6, 1]",4.532111348925088,6.381949151876759,5.273072493861406,8.026557114935128
"[7, 1]",6.014575985237968,8.3447508392496,7.068793868617707,7.46275346065523
"[7, 0]",8.315371334636785,5.639711716209957,7.217171108184569,7.501215105015717
"[8, 0]",4.43396214258373,4.585057638428902,7.758135904778521,6.153575030178575
"[7, 2]",2.1692517400309463,7.195963470129782,4.012849139448745,3.949146066220798
"[8, 2]",0.7396697799766468,6.705960199691539,3.4694269863654497,2.215076632272362
"[8, 1]",4.589719606472461,4.267469754624299,8.00997308509255,5.171585299025177
"[7, 3]",0.8787720391257997,3.315686387684883,0.2486419017675049,0.4925310971099275
"[6, 2]",3.185790250721702,7.184317915511102,4.051660936077497,3.705239264914258
"[5, 2]",6.766921463613983,3.785692138514402,5.955703427865535,4.390891727103305
"[3, 2]",2.4170346821208644,5.706370385001995,2.635889881534057,2.694050395026923
"[2, 2]",1.2226969771277676,0.4514786532027573,0.4327746044136179,4.636747601995813
"[2, 3]",0.1952016863544043,1.9843785514065573,2.2721534237793204,1.2405001417052344
"[4, 3]",2.117290013903648,4.735735146237224,4.554480672205322,6.299368586953877
"[5, 3]",1.7754412454592725,6.696866873712216,3.3714878785637783,4.796138105720795
"[9, 0]",6.6685790939404415,-0.0819660844358285,4.482465132572558,3.3747851987186435
"[9, 1]",4.537421539181106,2.906030654612569,6.901835574386138,4.831028430624194
"[10, 0]",3.014039614364288,0.1566312494971035,4.940941935774658,0.1121868587447307
"[10, 1]",2.0132000500244,2.881542008624799,0.3154212852464951,3.5372240717925667
"[10, 2]",1.6726117091224395,0.1330624339595855,1.080605566869948,0.0305425
"[9, 2]",0.1974067427542795,0.5697354510412926,5.173432566207458,2.0160666643620657
"[6, 0]",6.173524332771192,3.8028865161475847,5.248604326555308,7.758032235761581
"[5, 0]",6.492863805263342,2.778763091138454,0.4242918587381841,5.450622797230059
"[11, 2]",1.2424774451145604,0.1625191625959857,0.0877673795243785,2.4492155737525034
"[12, 2]",1.7133794236543614,2.638357739236646,1.9384475400472088,0.4986601265067089
"[12, 1]",1.5824210068387945,2.352648372353165,3.1530847119930447,1.4323904182254243
"[11, 1]",1.2443318611518477,3.7163087739522296,2.0869806946481555,0.490323021409375
"[10, 3]",0.0342332153927191,0.5585084283536478,0.0396224582690526,1.2159047658409063
"[11, 3]",0.2201230132107451,0.2402048010186943,0.5004723820709729,1.4248979605100371
"[12, 3]",0.1108641794229987,2.6611654804060154,0.1581510238235435,0.0
"[13, 1]",2.9233289419559187,0.1037566850964817,0.2460111405081909,0.2386857080371292
"[13, 2]",0.399775590316299,1.3741975863174234,1.121663363285902,4.488147649519857
"[14, 2]",6.3793096012562005,2.8916561395873943,2.22689040659014,4.596091471288583
"[13, 3]",0.093383660394892,2.582668198003551,0.1939254549620088,0.3646032807933572
"[15, 2]",7.592733509027638,0.9609819708390728,5.5048993909913415,4.217591289829917
