,0,1,2,3
"[1, 1]",-10000.0,-10000.0,-10000.0,-10000.0
"[2, 2]",-10000.0,-10000.0,-10000.0,-10000.0
"[5, 5]",-10000.0,-10000.0,-10000.0,-10000.0
"[3, 3]",-10000.0,-10000.0,-10000.0,-10000.0
"[13, 13]",-10000.0,-10000.0,0.0,-10000.0
"[4, 4]",-10000.0,-10000.0,-10000.0,-10000.0
"[7, 7]",-10000.0,-10000.0,-10000.0,-10000.0
"[8, 8]",-10000.0,-10000.0,-10000.0,-10000.0
"[6, 6]",-10000.0,-10000.0,-10000.0,-10000.0
"[10, 10]",-10000.0,-10000.0,-10000.0,-10000.0
"[19, 19]",-10000.0,0.0,0.0,0.0
"[30, 30]",0.0,0.0,-10000.0,0.0
"[11, 11]",-10000.0,-10000.0,-10000.0,-10000.0
"[23, 23]",0.0,0.0,-10000.0,0.0
"[22, 22]",0.0,0.0,-10000.0,0.0
"[9, 9]",-10000.0,-10000.0,-10000.0,-10000.0
"[24, 24]",0.0,-10000.0,0.0,0.0
"[12, 12]",0.0,0.0,-10000.0,-10000.0
"[15, 15]",0.0,0.0,-10000.0,-10000.0
"[14, 14]",0.0,0.0,-10000.0,0.0
"[17, 17]",-10000.0,-10000.0,0.0,0.0
"[18, 18]",0.0,0.0,-10000.0,0.0
"[16, 16]",0.0,0.0,10000.0,0.0
"[33, 33]",-10000.0,0.0,0.0,0.0
