,0,1,2,3
"[0, 0]",-2.0187283894250747,-3.804015652628497,-3.700250677149438,0.27291072947147005
"[1, 0]",0.659454336898937,-0.0594291318581,0.1731575602585231,-0.02
"[0, 1]",0.205489104491,-0.0021352741758159,-0.0208,0.500009788749681
"[0, 2]",0.2190060504943702,-1.822422881,-0.080564901369599,0.10609900499
"[0, 3]",-1.9036543781,-0.02,-1.9036543781,0.8109736191233105
"[0, 4]",0.11000189,-0.02,-0.040936430850599,-0.0043452389
"[0, 5]",-0.0012,-0.002189,0.10489252737717943,-0.002289
"[1, 4]",-0.0035641199999999,-0.0012,-0.00223790798,0.47379657650871
"[1, 5]",-0.0023879999999999,-0.002288,0.2972252,0.468766305704172
"[2, 5]",0.3820211427573488,0.21722691,0.1190099999999999,-0.005902783212
"[3, 5]",-0.004950056968852,-0.00016749959291996377,-0.0048391708,0.015782297093987492
"[3, 4]",-0.00479192007873,0.4965219246446229,0.003671184648405262,0.003059500683884202
"[2, 6]",-0.00515459578,0.2303926163588875,-0.00377293,-0.002509687168852
"[2, 7]",0.24720107343716555,-0.0047284788,-0.0023879999999999,-0.00376312
"[2, 4]",7.549620558006034e-05,0.208109,0.1080299,0.39726365778766404
"[3, 3]",0.1256715139501036,0.4703289851844202,0.3150219862215523,0.10783298162
"[3, 2]",-0.005696034411,-0.0024247276801,-0.003386996328,0.33479929146698506
"[4, 2]",0.7343855765932545,-0.0022998,-0.003398612547,0.0013521597465011815
"[5, 2]",-0.0036184623599999,-0.0035846229899999,0.03418214116604078,-0.0023879999999999
"[5, 3]",0.2350241248,0.41563378355606856,0.025795683220976105,0.6370830704856776
"[4, 3]",0.6987934033570891,-0.0035937111,0.014786025829095722,0.5055325869792
"[5, 4]",0.1408331259844541,0.02425395403746499,0.8662086109536231,0.12242232020513513
"[5, 5]",0.01563676915340984,0.7270917644290742,0.00292062214171748,-0.003896991247
"[6, 5]",0.3762363728114887,-0.00399599357,0.0006307083650472622,0.0031843731576263446
"[6, 4]",0.004653977969176699,-0.002587,-0.0013108,-0.0051225187
"[7, 4]",-0.0012507863468717577,0.0043447558582630766,-0.006371293513,-0.002786
"[7, 5]",-0.004081423,-0.0051582757,0.01770830440724918,-0.0017534065973118774
"[8, 5]",-0.0055299236,4.376585300000079e-05,-0.0069553465457,-0.00689916668
"[9, 5]",-0.00596150826,-0.004380224,-0.00554150786,-0.00449345535
"[9, 6]",-0.004482352932,-0.005556902,0.13730135,-0.00595138334433
"[10, 6]",-0.0062201284,-0.001470647891328081,-0.0059989328763,0.7249740073374401
"[11, 6]",-0.003184,-0.0029985,0.31299841099157505,-0.0016154296
"[11, 7]",-0.00496267,0.002651325544522815,0.15854611336,0.4616628047900942
"[11, 8]",0.1571344,-0.0016,-0.0016,0.5876593813802654
"[9, 7]",-0.0046677715,0.15056927059245,-0.0030101874,-0.00022654251794000093
"[8, 7]",0.14865,0.4935378216695,-0.004183214,-0.002910965
"[8, 8]",0.1488389784999999,-0.0015126,-0.0015,-0.0015251873999999
"[7, 7]",-0.004220613072788,0.14103585824459025,-0.002823536536394,-0.0043707615
"[6, 7]",-0.00031900858693954554,-0.006873093014,-0.00556911535334,0.005647267839459509
"[7, 6]",-0.0028245524,-0.00557703203,0.25574009140738235,-0.0012642500162117576
"[8, 6]",0.596262874245,-0.00419556326,-0.00419556326,-0.004394589
"[10, 5]",-0.004482906,-0.005617940233874,-0.0028263434,-0.002913202932
"[10, 4]",-0.0057779328066,-0.007021649534,-0.0056914968800233,-0.005778935718
"[10, 3]",-0.005554558725996,-0.005576375606,-0.00689926534934,-0.0055292730206
"[11, 3]",-0.0072803179824,-0.0042457460826415,-0.00443567697846,-0.0042708534
"[12, 3]",-0.002985,-0.002786,-0.0028236614,-0.0015
"[12, 2]",-0.00445515,-0.0041957933,-0.0027986,-0.002985
"[12, 1]",-0.002824448,-0.00282342326,-0.00417074,-0.002811074
"[11, 2]",-0.006887712965,-0.00559101853814,-0.0069933486720229,-0.0055660088333977
"[12, 4]",-0.0031360112298665,-0.0030975,-0.004580282904,-0.0016135
"[12, 5]",-0.00456756,-0.004584706,-0.0045236337,-0.006221068
"[13, 5]",-0.00331023517,-0.003184,-0.0032984,-0.003283
"[13, 6]",-0.00504917,-0.003184,-0.00476656,-0.003383
"[14, 6]",-0.0016626176999999997,-0.003482,-0.00506357,-0.003582
"[14, 7]",2.362223139866981e-05,-0.003583,-0.003583,-0.003383
