,0,1,2,3
"[0, 0]",-7.012486704434778,-7.00415566139705,-7.016139837948094,-7.103494540824578
"[1, 0]",-1896.866652390114,-12.484035126995611,-32.30061320975038,-19.64303349131272
"[2, 0]",-1.3439001166833786,-2.2937644530516184,-1.4507676450621587,-1.3453746090614833
"[3, 0]",-1.127215909709516,-1.1418293713863412,-1.1205560541686226,-1.1249749369084099
"[3, 1]",-0.8647636922859078,-1.0922102443779544,-1.9524331550136906,-1.0752981083436088
"[2, 1]",-5.377968950599,-1.2023300630690639,-191.256642858868,-1.2066522573772391
"[2, 2]",-2232.7887674417498,-1631.28756088,-1570.568066160731,-1594.7849125
None,-10000.0,0.0,0.0,0.0
"[0, 1]",-66.32111793471836,-71.81592700071333,-11.942857965187622,-2341.929401791837
"[0, 2]",-1.5622012237097527,-1.5922831481134825,-1.6117146576496932,-1.673309278210072
"[0, 3]",-1.1307865150779106,-1.1255560682210748,-1.1257772702193252,-1.1268986788698938
"[1, 3]",-0.9424086590084478,-1.2274121809423806,-0.9434963771758529,-0.935800887809772
"[1, 4]",-0.7649089219792575,-0.7616263098117249,-0.7667038094621843,-0.7665205871702281
"[1, 5]",-0.6293760235040461,-0.6217936523034571,-0.6270117202946688,-0.6245961448384151
"[0, 5]",-0.6949974459915554,-0.7037743082639331,-0.7030798949739475,-0.7033048825711077
"[0, 6]",-0.5453643535789714,-0.5552345193714867,-0.6832560406146806,-0.5524801552221047
"[1, 6]",-0.504039481925116,-0.512568631585537,-0.5002953070157307,-0.5017005615862163
"[1, 7]",-0.39978621260908387,-0.4083037647696516,-0.4054477132040363,-0.4087377321300363
"[1, 8]",-0.3418314815577033,-0.34147318763374146,-0.3341755508155505,-0.33539729443809824
"[0, 8]",-0.36124549714230136,-0.3620906325655473,-0.35513143337904857,-0.36238708046578455
"[1, 9]",-0.2892558440065831,-0.2855775617261503,-0.2868889718470998,-0.28247086553895673
"[0, 9]",-0.2881332871486026,-0.3056566941437403,-0.296262473547338,-0.29391669796177394
"[2, 9]",-0.25206559089079467,-0.2517986473413561,-0.270012065171813,-0.26059239166232073
"[1, 10]",-0.24309759906732384,-0.24111399382555912,-0.23610320969184656,-0.24383895884995588
"[2, 10]",-0.2251029607702288,-0.22092126126042116,-0.22025084815627174,-0.22568234326751233
"[1, 11]",-0.21369701230532434,-0.21102034172808254,-0.206526414689314,-0.2055844928259064
"[1, 12]",-0.1764147860954189,-0.1715377336713721,-0.1760205186926862,-0.1778327252353629
"[0, 12]",-0.157557237207796,-0.1521583819764181,-0.1578962026765496,-0.1489696425217936
"[1, 13]",-0.1569749010748465,-0.1612157059021839,-0.1480082447409457,-0.1565193947257958
"[0, 13]",-0.1473956834735841,-0.1400795120908202,-0.1393857773721665,-0.1485571442325521
"[2, 12]",-0.17645172149767202,-0.17090163809216882,-0.1691475702864634,-0.1674043625481015
"[3, 12]",-0.16627209557246792,-0.1602820761709361,-0.1591989006337485,-0.1569933358098514
"[3, 11]",-0.1956978270721164,-0.1884010208078214,-0.188845784438337,-0.1867569776380089
"[3, 10]",-0.21637410558380396,-0.20923976729221935,-0.2099705422416162,-0.20759863405322135
"[2, 11]",-0.20556558332535993,-0.1989925219245488,-0.1991034576749376,-0.1971091090976133
"[3, 9]",-0.2256483328492059,-0.23037846739090187,-0.22233602856652662,-0.22191092795522344
"[3, 13]",-0.1386207520345491,-0.1311725546269254,-0.1297917361291373,-0.1383194485874758
"[2, 13]",-0.14848397062604432,-0.1403079851042346,-0.1388360252257711,-0.1474811978346171
"[4, 12]",-0.1374644698359106,-0.1412430414056917,-0.1400853019830148,-0.1466948014667166
"[4, 13]",-0.1180575292643574,-0.1204790205868578,-0.1199516087420872,-0.1184795752603658
"[5, 13]",-0.0986899511290504,-0.1002887542146482,-0.1000699089747558,-0.1078951942757342
"[4, 14]",-0.10865768742249673,-0.0998340849012531,-0.1005734456261276,-0.1081590785494956
"[5, 14]",-0.0893625845179575,-0.0901326500859794,-0.0899014107454955,-0.0979725206282279
"[6, 14]",-0.0691806128345663,-0.0690935155263949,-0.0700682204757715,-0.0885086267761435
"[6, 15]",-0.0698607892101076,-0.0697849300050496,-0.060199525887415,-0.0693489388644991
"[5, 15]",-0.08893528515145392,-0.0796283744013841,-0.0799751850994671,-0.08910841711957049
"[7, 14]",-0.0599381012997381,-0.0694385264798903,-0.060192446347516,-0.0596717551093426
"[6, 13]",-0.0701110609631539,-0.0794615972710758,-0.070839520495616,-0.0789295635090104
