,0,1,2,3
"[0, 0]",-1.4836110037355792,-1.3430339211859155,-1.3264388731570778,-1.3523022915142382
"[0, 1]",-0.7308633179466447,-0.8132601149327942,-0.3516055493145028,-0.3519010185631747
"[1, 1]",-0.08546669583965642,-0.10129358160656678,-0.10223128218223256,-0.10421814164703408
"[1, 0]",-0.37712421083010966,-0.3720537144477026,-0.666988349972048,-0.5875298044968581
"[2, 1]",-0.047694677767859316,-0.042761063564961344,-0.04353129813960239,-0.043351027257224034
"[3, 1]",-10.082817800942669,-19.159959933136495,-0.03705299517108836,-0.03733565604098838
"[4, 1]",-585.19850599,-679.3465209300999,-679.3465209300999,-679.3465209300999
None,0.0,0.0,0.0,0.0
"[2, 0]",-0.12363045344700127,-0.11967794118745345,-0.4378349239378787,-0.4363443876586667
"[3, 0]",-33.621069081650695,-42.16497080951692,-0.31224186520823394,-0.2908461185672218
"[2, 2]",-0.02636066924416002,-0.03471453855298409,-0.025385756979164748,-0.031492361935907355
"[2, 3]",-0.027232527071318756,-0.017149156450256862,-0.010619113715811299,-0.022571006255254294
"[3, 2]",-0.013697867956294754,-0.020163294281476684,-0.019602156882657925,-0.014777695178968922
"[3, 3]",-0.012506719300710144,-0.010674441719532244,-0.010960533231973579,-0.010896619726844593
"[1, 3]",-0.03776312080577628,-0.03872363467930676,-19.941805808987613,-18.823064838376478
"[1, 4]",-679.3465209300999,-772.553055720799,-490.099501,-772.553055720799
"[0, 2]",-0.4892195157796582,-0.540683867750747,-0.12253595846950475,-0.12524469492162174
"[4, 2]",-0.0039761053343029,-0.006043278293702695,-18.14295006216512,-8.78259187882
"[1, 2]",-0.043742060780741,-0.04448365366879578,-0.056115277038765815,-0.044638115732011936
"[4, 0]",-1136.151282838707,-864.827525163591,-679.3465209300999,-679.3465209300999
"[0, 3]",-0.3191373873289539,-0.32531619432391035,-12.905775788750937,-5.072162124175823
"[4, 3]",-0.005984170343169835,-0.004003639926497916,-0.907734520747208,-0.0029881711899999996
"[4, 4]",-297.01,-394.0399,-199.0,-100.0
"[0, 4]",-490.099501,-679.3465209300999,-297.01,-864.827525163591
"[2, 4]",-4.380368376601001,-10.520406120511002,-0.003975862591000001,-0.004857613501676591
"[3, 4]",-0.8959278854880999,-0.00199,-0.002077896563490682,-0.0029962989550900007
"[2, 5]",-0.0029701,-0.001,0.005120900000000001,0.005993775488681001
"[2, 6]",0.899,0.8980100000000001,-0.0019261810000000001,0.0
"[1, 6]",100.0,199.0,0.0,100.0
"[5, 3]",-0.0029879118117099998,-0.0020168200000000003,-0.00199,-0.00199
"[5, 2]",-0.001009081,-0.002034775138008726,-0.003958309,-0.003949399
"[5, 1]",-0.901,-0.001,-0.001,-0.00199899091171
"[5, 4]",-100.0,0.0,0.0,-100.0
"[3, 5]",-0.0019360560206018711,-0.001,0.0,-0.0010090000000000001
"[6, 3]",-0.001,-0.0010090000000000001,0.0,-0.001
"[4, 5]",-100.0,0.0,0.0,0.0
"[2, 7]",0.0,0.0,0.0,0.007091000000000001
"[1, 5]",0.0,-0.0009361810000000001,0.0,1.79
"[6, 1]",100.0,0.0,0.0,0.0
"[7, 3]",-0.001,0.0,0.0,0.0
"[6, 2]",0.0,-0.0010090817290000001,0.0,0.0
"[5, 0]",-100.0,0.0,0.0,0.0
