,0,1,2,3
"[0, 0]",-0.4394218996982841,-0.8592622244957916,-0.8357814669444716,0.6257605937755953
"[0, 1]",-0.2165901819472853,-0.2693212672275726,-0.5510847488344773,-0.2567494881240021
"[1, 0]",-0.2592651797814261,-0.0014977913845222,-0.3237300700240239,12.694977523733332
"[2, 0]",-0.0258012739185593,4.72794139313117,0.2595429279016126,116.93312075839287
"[3, 0]",679.3465209300999,679.3465209300999,772.553055720799,956.179249911955
None,0.0,0.0,0.0,0.0
"[1, 1]",-0.15261311511732548,0.2942151720685273,-0.1634446594978982,-0.0919314106834284
"[0, 2]",-0.1352182750019223,-0.1420344743270377,-0.1751463523261552,-0.1165793762406367
"[0, 3]",-0.0875308430405872,-0.0903648685405132,-0.1749737832408368,-0.1285715524484417
"[0, 4]",-0.029701,-0.0609581987313131,-0.0987256256609,-0.0780494084400799
"[1, 4]",-0.0490099501,-0.0674079347210523,-0.06855392391301,-0.04774582116649344
"[1, 3]",-0.06881163091174125,-0.0699156788562995,-0.1165493891378704,0.149582875594049
"[1, 2]",-0.08414246585207216,-0.1020302866640074,-0.0808791931159081,-0.1511422867858949
"[1, 5]",0.0,-0.030145618,-0.0199,-0.029701
"[2, 5]",-0.01189,-0.039441226681,0.0,-0.0199
"[3, 5]",0.8801000000000001,-0.0199,-0.0199,0.0
"[3, 4]",-0.0199,4.42628,-0.0100187119,-0.0491890501
"[4, 4]",-0.029701,-0.01,-0.01,-0.0490099501
"[4, 5]",-0.01,-0.01009,-0.0199,0.0
"[4, 6]",0.0,-0.01,0.0,0.0
"[2, 4]",-0.029701,0.086078740194809,-0.059138417557,-0.00477399652201
"[2, 3]",-0.0952481500610147,-0.0757136708086919,-0.0667134261306367,7.0257982499
"[3, 3]",394.0399,199.0,199.0,199.0
"[0, 5]",-0.0199,-0.0101791,-0.0398,-0.029701
"[4, 3]",-0.01,0.0,1.781,-0.0199
"[5, 3]",0.0,-0.029701,-0.0199,0.0
"[5, 2]",-0.0199,-0.01,-0.01,-0.0199
"[5, 1]",-0.0199,-0.01,-0.01,-0.029701
"[6, 2]",-0.01,-0.01,-0.01,0.0
"[6, 3]",0.0,100.0,0.0,0.0
"[2, 2]",0.285735077360883,-0.0249107239788184,-0.0887885505802532,0.0082037429
"[2, 1]",-0.1009522699128443,3.458836958512028,-0.070593398952672,0.4792184842177529
"[3, 2]",4.42628,0.121918119533,-0.0096653546602857,-0.01
"[3, 1]",0.01199771,13.9433112253709,-0.0288498434893027,-0.03940399
"[4, 1]",-0.0199,-0.0199,0.02983652,-0.03940399
"[4, 2]",-0.01,-0.02943247132,0.0,0.0
"[4, 0]",-0.01,0.0,2.6630900000000004,0.0
"[6, 1]",-0.01,-0.01,-0.0199,0.0
"[6, 0]",100.0,0.0,0.0,0.0
"[5, 4]",0.0,-0.01,-0.029968309,-0.01
"[3, 6]",0.0,297.01,0.0,100.0
"[5, 0]",0.0,-100.0,0.0,0.0
"[6, 4]",-0.01,0.0,0.0,0.0
"[6, 5]",0.0,0.0,-0.01,0.0
"[5, 5]",0.0,0.0,0.0,-100.0
"[2, 6]",0.0,0.0,0.0,2.6621
"[0, 6]",-0.01,-0.01009,-0.07880798,-0.01
"[1, 6]",0.0,0.0,-0.01,0.0
"[0, 7]",0.0,0.0,-0.02,-0.01
"[1, 7]",-0.01,0.0,0.0,-0.0199
"[2, 7]",-0.01,0.0,-0.01,-0.01
"[3, 7]",0.0,0.0,-0.01,0.0
"[2, 8]",0.0,0.0,-0.029701,0.0
"[1, 8]",-0.029701,-0.01,-0.01,-0.01
"[1, 9]",-0.01,-0.01,0.0,-0.01
"[2, 9]",0.0,-0.01,0.0,0.0
"[0, 8]",0.0,0.0,0.0,-0.01009
"[1, 10]",-0.01,0.0,0.0,0.0
"[1, 11]",-0.01,0.0,0.0,-0.01
"[1, 12]",0.0,-0.01,0.0,0.0
"[2, 11]",-0.01,0.0,0.0,0.0
"[2, 12]",-0.01,0.0,0.0,0.0
"[2, 13]",-0.01,0.0,0.0,0.0
"[2, 14]",-0.01,0.0,-0.01,0.0
"[1, 14]",0.0,0.0,0.0,-0.01
"[2, 15]",-0.01,0.0,0.0,0.0
"[2, 16]",0.0,0.0,0.0,-0.01
"[3, 16]",0.0,-0.01,0.0,-0.01
"[4, 16]",-0.01,0.0,0.0,0.0
"[4, 17]",0.0,0.0,-0.01,0.0
"[3, 17]",0.0,-0.01,0.0,0.0
"[3, 15]",0.0,0.0,100.0,0.0
