,0,1,2,3
"[0, 0]",-0.5629739433856101,-0.6737019710444299,-0.5995225565738389,-0.5717523857199732
"[0, 1]",-0.2150114415068192,-0.24506874758413047,-0.3490832487359799,-0.19433864444517515
"[1, 0]",-0.1800306016513732,-0.4069724083772074,-0.1952472436163041,-0.1762706720568612
"[0, 2]",-0.1381970769338632,-0.1096521970483171,-0.279349830453717,-0.1098676631689521
"[0, 3]",-0.1498321969214233,-0.100284388603821,-0.295310470315815,-0.0825369896426326
"[0, 4]",-0.1219979407365641,-0.0689999210337771,-0.1214818436620705,-0.0689758460114893
"[1, 4]",-0.0418519730859092,-0.0420809800449834,-0.0424148567790198,-0.0423015551704428
"[0, 5]",-0.0854861646108526,-0.0502632124434759,-0.0649584919296115,-0.0483192557269184
"[1, 5]",-0.0299549152058784,-0.0295418091744266,-0.0292370311185052,-0.0298143341351119
"[2, 5]",-0.0331675334284414,-0.0323921718452048,-0.0327640177778054,-0.033846600516345
"[2, 6]",-0.0251034342126377,-0.024895432373084,-0.0265653792608438,-0.0256160714711217
"[2, 7]",-0.0175815498094963,-0.0169181194903128,-0.0177503784130044,-0.0170078520290602
"[1, 7]",-0.0149796251498815,-0.0163440563505559,-0.0159929746863294,-0.0158143478015981
"[2, 8]",-0.0089607945860298,-0.0091696784814365,-0.0098252266223059,-0.0089954984913662
"[1, 8]",-1.794984655076029,-0.0101211907017282,-0.8649297829815499,-4.408626734115692
"[1, 9]",-297.01,-297.01,-490.099501,-394.0399
,0.0,0.0,0.0,0.0
"[2, 0]",-0.10311476147673697,-0.2318486816193476,-0.1627500265242497,-0.1337578346661944
"[3, 0]",-0.07748681233554862,-0.19503378144954825,-0.1103275638044324,-0.1063732340230599
"[3, 1]",-0.05294096073342344,-0.051888425447995615,-0.05199346648325553,-0.05108813207233198
"[3, 2]",-0.051393990086048835,-0.051966424869874316,-0.0518744722290542,-0.0515991479534003
"[4, 2]",-0.044211417403195494,-0.04500206802061602,-0.04374113844790719,-0.043353567947413636
"[4, 3]",-0.03855901684312495,-0.038523235630961224,-0.03810406285582744,-0.03857444464328911
"[4, 4]",-0.0277214713755585,-0.02842760285970673,-0.0274444003354172,-0.0277555851575302
"[5, 4]",-0.0262710236034322,-0.0256381115456078,-0.0247684582805124,-0.0255768954316664
"[5, 3]",-0.02854236018803596,-0.0279031148923919,-0.027223159942288,-0.0281080620179318
"[6, 3]",-0.0229613567324979,-0.0230002916256902,-0.0238144106748203,-0.024479116908417923
